idiom	submission	category	likes	dislikes	reports	rating
abbaiare alla luna	Quando un cane abbaia alla luna non è buon segno dalle mie parti	nonidiom	1	1	0	0,5
abbaiare alla luna	se dodiom non mi mostra più la classifica non mi resta che abbaiare all’infinito alla luna	idiom	4	1	0	0,8
abbaiare alla luna	Se la smettessi di abbaiare alla luna, magari avresti più tempo per concentrarti sulle cose importanti	idiom	1	1	0	0,5
abbaiare alla luna	se non impari dai tuoi errori è inutile continuare ad abbaiare alla luna	idiom	3	1	0	0,75
abbaiare alla luna	Sei immaturo, abbai sempre alla luna	idiom	2	0	0	1
abbaiare alla luna	smetti di abbaiare sempre alla luna, i problemi non si risolvono così	idiom	4	2	0	0,6666666667
abbaiare alla luna	Smettila di abbaiare alla luna, sei una lagna	idiom	2	0	0	1
abbaiare alla luna	Smettila di abbaiare alla luna, sembri un cane randagio	idiom	1	1	0	0,5
abbaiare alla luna	so che è inutile ma non posso fare a meno di abbaiare alla luna in questa situazione	idiom	0	0	0	0
abbaiare alla luna	Sono triste e non faccio che abbaiare alla luna perché c'è il covid e non posso uscire	idiom	5	1	0	0,8333333333
abbaiare alla luna	Sprechi troppo tempo ad abbaiare alla luna	idiom	2	1	0	0,6666666667
abbaiare alla luna	Stella, non abbaiare così alla luna, sveglierai i vicini!	nonidiom	0	0	0	0
abbaiare alla luna	Ululare non abbaiare alla luna	idiom	1	1	0	0,5
abbaiare alla luna	È come se stessi davvero abbaiando solo alla luna, nessuno mi prestava attenzione nonostante avessi molto da dire	idiom	3	1	0	0,75
abbaiare alla luna	è inutile abbaiare alla luna	idiom	2	3	0	0,4
abbaiare alla luna	è inutile che, dopo esserti reso conto dei tuoi errori, abbai alla luna	idiom	4	1	0	0,8
abbaiare alla luna	è molto testardo, non capisce quando bisogna smettere di abbaiare alla luna	idiom	2	1	0	0,6666666667
Acchiappare farfalle	A Clelia piace passeggiare per i campi ed acchiappare quante più farfalle possibile con il suo retino, per poi lasciarle libere	nonidiom	1	1	0	0,5
Acchiappare farfalle	A me sembra si stare acchiappando solo farfalle seguendo i tuoi consigli	idiom	1	0	0	1
Acchiappare farfalle	A Nabokov piaceva acchiappare e collezionare farfalle!	nonidiom	2	1	0	0,6666666667
Acchiappare farfalle	Al posto di acchiappare farfalle, pensa a studiare!	idiom	1	1	0	0,5
Acchiappare farfalle	Basta acchiappare le farfalle	idiom	3	0	0	1
Acchiappare farfalle	Chi vuole giocare ad acchiappare farfalle?	nonidiom	1	0	0	1
Acchiappare farfalle	Chiedere a Dodiom di mostrare la classifica è come acchiappare farfalle	idiom	1	0	0	1
Acchiappare farfalle	Daniel ha acchiappato solo farfalle ostinandosi a portare il suo cane dal comportamentalista sperando che diventasse meno aggressivo	idiom	1	0	0	1
Acchiappare farfalle	Di pomeriggio dovresti studiare,piuttosto che acchiappare farfalle!	idiom	1	1	0	0,5
Acchiappare farfalle	Dodiom suggerisce espressioni sconosciute come acchiappare farfalle	nonidiom	1	2	0	0,3333333333
Acchiappare farfalle	Hai passato una vita ad acchiappare con tuo marito farfalle	idiom	1	1	0	0,5
Acchiappare farfalle	In estate vado in campagna per acchiappare le farfalle	nonidiom	1	1	0	0,5
Acchiappare farfalle	La mia nonna era una persona che amava ammirare le lucciole d'estate e insegnarci ad acchiappare farfalle per poi liberarle trasmettendoci il valore della libertà e dell'indipendenza	nonidiom	1	1	0	0,5
Acchiappare farfalle	Mamma mi ha suggerito di smetterla di acchiappare farfalle con l'università	idiom	2	0	0	1
Acchiappare farfalle	Mariagrazia per tutto l'anno che è stata a Napoli ha solo acchiappa to farfalle	idiom	1	1	0	0,5
Acchiappare farfalle	Mi sembra di acchiappare sempre più farfalle con quel commercialista	idiom	1	0	0	1
Acchiappare farfalle	Mi sono resa conto che non sono più una ragazzina ed è ora di smetterla di acchiappare solo farfalle	idiom	2	0	0	1
Acchiappare farfalle	Nello da quando lo conosco acchiappa farfalle	idiom	1	1	0	0,5
Acchiappare farfalle	non devi acchiappare più farfalle, sono insetti delicati	nonidiom	1	1	0	0,5
Acchiappare farfalle	Non siamo qui ad acchiappare farfalle, questa riunione è importante perciò concentriamoci	idiom	1	1	0	0,5
Acchiappare farfalle	Oggi non so cosa fare, sto acchiappando farfalle	idiom	1	1	0	0,5
Acchiappare farfalle	Provare ad offrire qualcosa al bar ai miei amici d'infanzia è come acchiappare farfalle	idiom	1	0	0	1
Acchiappare farfalle	Quando chiedo un aiuto a Giovanni acchiappo sempre e solo farfalle	idiom	0	2	0	0
Acchiappare farfalle	Sarebbe bello poter acchiappare farfalle anziché stare chiusi in casa con il covid	nonidiom	1	1	0	0,5
Acchiappare farfalle	Secondo me se continui ad affidarti a quella commercialista acchiappi solo farfalle	idiom	1	0	0	1
Acchiappare farfalle	Siamo stati fidanzati per 5 anni, tempo durante il quale ho solo acchiappato farfalle	idiom	2	0	0	1
Acchiappare farfalle	smetti di acchiappare farfalle, c’è bisogno del tuo aiuto	idiom	2	1	0	0,6666666667
Acchiappare farfalle	Stai acchiappando solo farfalle cercando di riparare quella vecchia lavatrice	idiom	1	0	0	1
Acchiappare farfalle	Stai sempre ad acchiappare farfalle	idiom	2	1	0	0,6666666667
Ammainare le vele	Ammainò la vela in fretta e furia	nonidiom	0	0	0	0
Ammainare le vele	Ancora non posso crederci che il nonno alla fine abbia ammainato le vele	idiom	1	0	0	1
Ammainare le vele	Avevamo un'osteria a Napoli ma dopo tutte queste restrizioni causa covid stiamo pensando di ammainare le vele.	idiom	1	0	0	1
Ammainare le vele	Comunque vada non ammainerò così presto la vela	idiom	0	0	0	0
Ammainare le vele	Eravamo in minoranza, la ciurma stava perdendo colpi, fu allora che il capitano ci ordino di ammainare le vele	idiom	0	1	0	0
Ammainare le vele	Ho ammainato la vela oggi	idiom	0	0	0	0
Ammainare le vele	Il signor gilardi vincerà sugli amministratori e tutti noi con lui non dobbiamo ammainare le vele.	idiom	1	0	0	1
Ammainare le vele	Mai ammainare la vela	idiom	0	0	0	0
Ammainare le vele	Maria ha già ammainato la vela prima di provarci	idiom	0	0	0	0
Ammainare le vele	Maria ha già ammainato la vela prima di provarci	idiom	0	0	0	0
Ammainare le vele	Non ammainerò mai la vela	idiom	0	0	0	0
Andare a gonfie vele	A quei momenti lì, a quando andava tutto a gonfie vele, e mi faceva stare bene, che mischiavi il romano e l’inglese	idiom	3	1	0	0,75
Andare a gonfie vele	andava a gonfie vele fin quando non arrivò la malattia	idiom	4	0	0	1
Andare a gonfie vele	Con il nuovo modem la connessione va davvero a gonfie vele	idiom	1	0	0	1
Andare a gonfie vele	Ho notato che il tuo nuovo progetto sta andando a gonfie vele	idiom	3	1	0	0,75
Andare a gonfie vele	Il colloquio è andato a gonfie vele	idiom	0	0	0	0
Andare a gonfie vele	Il mio percorso universitario non sta andando affatto a gonfie vele	idiom	4	0	0	1
Andare a gonfie vele	Il nuovo progetto della regione Basilicata sta andando a gonfie vele	idiom	3	1	0	0,75
Andare a gonfie vele	il progetto della casa in costruzione va a gonfie vele da mesi	idiom	4	0	0	1
Andare a gonfie vele	L'attività del nonno va a gonfie vele dopo 45 anni.	idiom	4	0	0	1
Andare a gonfie vele	La barca va a gonfie vele grazie a questo vento di maestrale.	nonidiom	4	0	0	1
Andare a gonfie vele	La fiat uno del 91 va ancora a gonfie vele	idiom	2	0	0	1
Andare a gonfie vele	La lavatrice che mi hai regalato va veramente a gonfie vele	idiom	1	0	0	1
Andare a gonfie vele	La mia riabilitazione sta andando a gonfie vele	idiom	4	0	0	1
Andare a gonfie vele	La nave sta andando a gonfie vele	nonidiom	3	1	0	0,75
Andare a gonfie vele	La nostra nuova attività sta andando per fortuna a gonfie vele da quando Alessia lavora con noi	idiom	3	1	0	0,75
Andare a gonfie vele	La pubblicazione del suo libro sta andando a gonfie vele	idiom	4	0	0	1
Andare a gonfie vele	La vele sono troppo distese per andare a gonfie vele verso il largo	nonidiom	4	0	0	1
Andare a gonfie vele	Nella nostra nuova azienda gli affari vanno a gonfie vele	idiom	4	0	0	1
Andare a gonfie vele	non tutto può andare a gonfie vele come speriamo	idiom	4	0	0	1
Andare a gonfie vele	Per far andare a gonfie vele il negozio, bisogna aprirlo in via tribunali	idiom	4	0	0	1
Andare a gonfie vele	Per fortuna è andato tutto a gonfie vele	idiom	3	0	0	1
Andare a gonfie vele	questo progetto va a gonfie vele	idiom	4	0	0	1
Andare a gonfie vele	Se andrà tutto a gonfie vele vincerò la gara.	idiom	3	0	0	1
Andare a gonfie vele	Se mi chiedono come va, dirò che va tutto bene, tutto a gonfie vele.	idiom	2	0	0	1
Andare a gonfie vele	Sono andato a gonfie vele!	idiom	2	0	0	1
Andare a gonfie vele	Speriamo che l'esame vada a gonfie vele.	idiom	3	0	0	1
Andare a gonfie vele	Su una imbarcazione, per andare a gonfie vele, occorre modificarne la curvatura delle stesse	nonidiom	3	0	0	1
Andare in barca	Andrò sicuramente in barca quest’estate	nonidiom	2	0	0	1
Andare in barca	Appena il professore ha chiamato il mio nome sono andata subito in barca	idiom	2	0	0	1
Andare in barca	Appeno Rosanna iniziò a nominare i carabinieri, il finto operatore Enel andò in barca	idiom	2	0	0	1
Andare in barca	bisogna andare necessariamente  in barca per raggiungere la riva opposta del fiume	nonidiom	1	0	0	1
Andare in barca	Durante l'esame di traduttologia sono andata palesemente in barca	idiom	2	0	0	1
Andare in barca	Durante l'esame sono andata completamente in barca	idiom	3	0	0	1
Andare in barca	Ho cercato di non andare in barca durante la prova di lavoro, ma quel giorno me ne erano successe di ogni tipo	idiom	2	0	0	1
Andare in barca	il modo di dire andare in barca non è molto usato	idiom	1	0	0	1
Andare in barca	In barca dovrai andare finché il coronavirus non scompare	idiom	1	1	0	0,5
Andare in barca	Mi sembra di essere andata in barca dopo tutto quello che ho passato	idiom	3	0	0	1
Andare in barca	Mi è piaciuto andare in barca a Capri	nonidiom	2	0	0	1
Andare in barca	non andare in barca, ti daremo una mano noi	idiom	2	0	0	1
Andare in barca	Non riesco a non andare in barca quando parlo davanti a molte persone	idiom	2	0	0	1
Andare in barca	Non vedo l'ora di poter nuovamente andare in barca con Egidio	nonidiom	2	0	0	1
Andare in barca	Per raggiungere la destinazione dobbiamo andare per forza in barca	nonidiom	2	0	0	1
Andare in barca	per raggiungere l’isola bisogna andare in barca	nonidiom	2	0	0	1
Andare in barca	Quando a Dodiom viene chiesto di mostrare la classifica va sempre in barca	idiom	2	0	0	1
Andare in barca	Quando mi ha detto che Marta non era mai arrivata a destinazione, sono letteralmente andata in barca	idiom	2	0	0	1
Andare in barca	Quest’estate vorrei andare in barca	nonidiom	3	0	0	1
Andare in barca	Se dovessi andare in barca durante la presentazione sarebbe un guaio	idiom	2	0	0	1
Andare in barca	È bastata una piccola crisi e sono andata in barca	idiom	2	0	0	1
Andare in barca	È da quando era piccolo che gli hanno insegnato ad andare in barca	nonidiom	3	0	0	1
Aprire gli occhi	Di solito la mia sveglia suona quando ho appena aperto gli occhi	nonidiom	0	0	0	0
Aprire gli occhi	Qualcuno deve farti aprire necessariamente gli occhi	idiom	0	0	0	0
Aprire gli occhi	Sei talmente preso da questa storia che non riesci a renderti conto di quello che ti sta succedendo, apri gli occhi!	idiom	0	0	0	0
Attaccare bottone	Avete finito di attaccare bottone e spilla?	nonidiom	0	0	0	0
Attaccare bottone	Ha attaccato bottone con me mentre stavo per andare via.	idiom	0	0	0	0
Attaccare bottone	Ho attaccato bottone verde e bottone rosso sulla giacca e per oggi ho finito il mio lavoro	nonidiom	0	0	0	0
Attaccare bottone	Ho bisogno di portare questa giacca dalla sarta per farmi attaccare un bottone che è caduto	nonidiom	0	0	0	0
Attaccare bottone	Non mi va di vedere Adele, se inizia ad attaccare bottone non ti lascia più andare via	idiom	0	0	0	0
Attaccare bottone	Non è una persona molto socievole e difficilmente sa attaccare bottone con gli altri.	idiom	0	0	0	0
Aver la coda di paglia	A me non piace la sensazione di avere la coda di paglia	idiom	2	0	0	1
Aver la coda di paglia	Anche se non voleva ammetterlo, Angela aveva la coda di paglia per quanto gli aveva fatto in precedenza	idiom	2	0	0	1
Aver la coda di paglia	Aniello ha la coda di paglia e preferisce non presentarsi all 'incontro	idiom	2	0	0	1
Aver la coda di paglia	Aveva chiaramente la coda di paglia quel vigliacco di Gaetano	idiom	1	0	0	1
Aver la coda di paglia	Aveva la coda di paglia e anziché cercare di rimediare all'errore fatto, continuava ad urlarmi addosso	idiom	1	0	0	1
Aver la coda di paglia	Avevamo scoperto che aveva rubato dei soldi nel negozio, ma nonostante avesse la coda di paglia continuava a comportarsi come se non avesse fatto nulla di male	idiom	1	0	0	1
Aver la coda di paglia	Claudia continua ad avere la coda di paglia e non ammette i propri errori	idiom	1	0	0	1
Aver la coda di paglia	Daniel preferì non accettare l'invito a pranzo, così compresi palesemente che aveva la coda di paglia	idiom	2	0	0	1
Aver la coda di paglia	Era palese che Alessandra avesse la coda di paglia	idiom	2	0	0	1
Aver la coda di paglia	Hai frainteso le mie parole forse perché hai la coda di paglia	idiom	2	0	0	1
Aver la coda di paglia	Hai la coda di paglia?	idiom	1	0	0	1
Aver la coda di paglia	Il lavoretto di questo natale sarà costruire tante stelle comete che hanno la coda di paglia	nonidiom	2	0	0	1
Aver la coda di paglia	Il modo di dire di oggi è avere la coda di paglia, conosci il suo significato?	idiom	2	0	0	1
Aver la coda di paglia	Il pupazzo a forma di lupo ha la coda di paglia e il corpo in legno.	nonidiom	2	0	0	1
Aver la coda di paglia	In quella recita avevo la coda di paglia più bella di tutti	nonidiom	2	0	0	1
Aver la coda di paglia	In un paesino di campagna i bambini hanno la coda di paglia per travestirsi da volpe a Carnevale.	nonidiom	2	0	0	1
Aver la coda di paglia	La maggior parte dei politici ha la coda di paglia per il modo pessimo in cui hanno gestito questa emergenza sanitaria	idiom	2	0	0	1
Aver la coda di paglia	La mamma aveva preparato una coda di paglia per ciascun bambino della classe	nonidiom	2	0	0	1
Aver la coda di paglia	La stella cometa del mio presepe ha una coda di paglia umile ma allo stesso tempo genuina	nonidiom	1	1	0	0,5
Aver la coda di paglia	La tua amica ha la coda di paglia visto che è andata via senza salutare?	idiom	2	0	0	1
Aver la coda di paglia	Le persone che hanno la coda di paglia sono quelle che non si comportano in maniera trasparente	idiom	2	0	0	1
Aver la coda di paglia	Luisa ha sempre la coda di paglia	idiom	1	0	0	1
Aver la coda di paglia	Maria aveva la coda di paglia	idiom	2	0	0	1
Aver la coda di paglia	Mariagrazia non ha mai risposto al mio messaggio ed è stata la conferma che aveva la coda di paglia	idiom	2	0	0	1
Aver la coda di paglia	Non sto di certo parlando di te, per caso hai la coda di paglia?	idiom	2	0	0	1
Aver la coda di paglia	Oggi ho fatto costruire ai bambini una pignatta con la coda di paglia	nonidiom	2	0	0	1
Aver la coda di paglia	Per come mi ero comportata il giorno prima, avevo la coda di paglia e pensavo che ogni parola fosse riferita a me	idiom	2	0	0	1
Aver la coda di paglia	Perché pensi che tutti stiano ridendo di te, hai la coda di paglia?	idiom	2	0	0	1
Aver la coda di paglia	Questo antico gioco consisteva nell'acchiappare chiunque avesse la coda di paglia.	nonidiom	2	0	0	1
Aver la coda di paglia	Sai cosa vuol dire avere la coda di paglia?	idiom	1	0	0	1
Aver la coda di paglia	Se dopodomani ci sarà vento non potremo avere la coda di paglia, sarà meglio prenderne una in legno	nonidiom	2	0	0	1
Aver la coda di paglia	Se ti comporti in maniera corretta e trasparente non c'è motivo di avere la coda di paglia	idiom	2	0	0	1
Aver la coda di paglia	Si notava tanto che aveva la coda di paglia e per tutto il tempo ha avuto la testa abbassata	idiom	2	0	0	1
Aver la coda di paglia	Stavo parlando di fabrizio, hai la coda di paglia?	idiom	2	0	0	1
Aver la coda di paglia	Un cavalluccio di legno che ha la coda fatta di paglia	nonidiom	2	0	0	1
Aver la coda di paglia	Vorrei scusarmi per il mio comportamento ma devo ammettere che avevo la coda di paglia	idiom	2	0	0	1
Aver la coda di paglia	È una persona falsa per questo ha costantemente la coda di paglia	idiom	2	0	0	1
Aver la corda al collo	A causa di questo virus i commercianti hanno la corda al collo	idiom	0	1	0	0
Aver la corda al collo	avere la corda al collo ha provocato una condizione di schiavitù a molte persone	idiom	0	0	0	0
Aver la corda al collo	Avere la corda al collo non è mai una sensazione piacevole	idiom	1	0	0	1
Aver la corda al collo	avere la corda al collo può provocare danni morali	idiom	0	0	0	0
Aver la corda al collo	Dover stare in quarentena per un mese per aver contratto il virus mi è sembrato di avere la corda al collo	idiom	1	0	0	1
Aver la corda al collo	Ho la corda al collo	idiom	0	0	0	0
Aver la corda al collo	Lavorando insieme al mio fidanzato quando deve chiedere le ferie ho sempre la corda al collo	idiom	1	0	0	1
Aver la corda al collo	non permettere a nessuno di farti sentire con la corda al collo	idiom	0	0	0	0
Aver la corda al collo	per colpa del virus che gira da un anno molte persone sentono di aver la corda al collo	idiom	0	0	0	0
Aver le mani lunghe	avere le mani lunghe è un vizio di molte persone	idiom	1	0	0	1
Aver le mani lunghe	chi ha le mani lunghe non vivrà mai serenamente	idiom	1	0	0	1
Aver le mani lunghe	Ho avuto a lungo la sua mano nella mia	nonidiom	0	0	0	0
Aver le mani lunghe	Ho guardato le sue mani: aveva le unghie lunghe.	nonidiom	0	0	0	0
Aver le mani lunghe	Quel mascalzone ha le mani lunghe	idiom	1	0	0	1
Aver le mani lunghe	È un politico che ha le mani lunghe	idiom	1	0	0	1
Avere ancora della birra nel corpo	All'età di 85 anni mia nonna ha ancora della birra nel corpo	idiom	0	0	0	0
Buttare giù	A pranzo ho buttato giù un po' di pasta al forno.	idiom	1	2	0	0,3333333333
Buttare giù	Anche se non sei dell'umore giusto dovresti sforzarti di buttare giù qualcosa	idiom	1	1	0	0,5
Buttare giù	Aspetta che butto giù qualcosa che ho fame.	idiom	3	0	0	1
Buttare giù	Buongiorno a chi non si butta giù	idiom	3	0	0	1
Buttare giù	Butta giù quel gioco e vieni qui!	nonidiom	2	1	0	0,6666666667
Buttare giù	Butta giù quel joystick e vieni a darmi una mano.	nonidiom	2	1	0	0,6666666667
Buttare giù	Butta giù quell'arma!	nonidiom	3	1	0	0,75
Buttare giù	Butta giù quella sigaretta.	nonidiom	3	1	0	0,75
Buttare giù	Butta giù tutto e corri qua	nonidiom	4	0	0	1
Buttare giù	Butta giù un boccone che sei sciupato.	idiom	3	1	0	0,75
Buttare giù	Buttare giù	nonidiom	2	1	0	0,6666666667
Buttare giù	Buttare giù ciò che si pensa non è un buon modo per affrontare i problemi	idiom	3	1	0	0,75
Buttare giù	Buttare giù una pillola	nonidiom	4	1	0	0,8
Buttare giù	Buttarsi così giù non va bene	idiom	2	2	0	0,5
Buttare giù	Buttate giù le armi!	nonidiom	3	1	0	0,75
Buttare giù	Camilla è sempre pronta a buttare giù le persone.	nonidiom	3	0	0	1
Buttare giù	Cheffftony ti butto giù	nonidiom	3	1	0	0,75
Buttare giù	Comincia a buttare giù qualche idea, poi parliamo del progetto	idiom	3	0	0	1
Buttare giù	Con quelle parole mi ha buttato giù	idiom	5	0	0	1
Buttare giù	Devi assolutamente buttare giù qualche chilo.	nonidiom	2	2	0	0,5
Buttare giù	Devi buttarmi le chiavi giù dal balcone	nonidiom	3	1	0	0,75
Buttare giù	Devo buttare giù altri 89 esempi	nonidiom	3	1	0	0,75
Buttare giù	Devo smetterla di buttarmi giù ogni volta che qualcosa mi va male	idiom	1	2	0	0,3333333333
Buttare giù	Dobbiamo buttare giù altri 85 esempi	nonidiom	1	3	0	0,25
Buttare giù	Dobbiamo scrivere esempi con buttare giù con l'accezione di inghiottire	nonidiom	0	3	1	0
Buttare giù	Dovresti buttarti giù	nonidiom	3	1	0	0,75
Buttare giù	Ero affacciato al balcone e ho buttato per sbaglio giù il telefono	nonidiom	4	0	0	1
Buttare giù	Finalmente hai buttato giù la vecchia relazione	idiom	3	1	0	0,75
Buttare giù	Hai buttato giù la medicina tutta in un sorso.	idiom	2	2	0	0,5
Buttare giù	Hai buttato proprio un bel boccone amaro giù	idiom	2	2	0	0,5
Buttare giù	Hanno dovuto buttar giù il palazzo per ricostruirlo	nonidiom	2	2	0	0,5
Buttare giù	Ho buttato giù 2 righe	nonidiom	1	3	0	0,25
Buttare giù	Ho buttato giù 3 litri di birra	idiom	3	1	0	0,75
Buttare giù	Ho buttato giù due bocconi prima di andare al lavoro	idiom	3	1	0	0,75
Buttare giù	Ho buttato giù la pasta	nonidiom	1	1	0	0,5
Buttare giù	Ho buttato giù la pizza in due bocconi.	idiom	3	1	0	0,75
Buttare giù	Ho buttato giù la spazzatura, come made in sud	nonidiom	3	1	0	0,75
Buttare giù	Ho buttato giù questi bocconcini di pollo in una secondo	idiom	3	1	0	0,75
Buttare giù	Ho buttato giù un boccone amaro	idiom	3	1	0	0,75
Buttare giù	Ho buttato giù un boccone molto amaro dopo questa notizia	idiom	3	1	0	0,75
Buttare giù	Ho buttato giù un panino in tutta fretta.	idiom	3	1	0	0,75
Buttare giù	Ho buttato tutto giù	idiom	0	2	0	0
Buttare giù	Il dottore mi ha consigliato di buttare qualcosa giù prima di prenderlo	idiom	1	1	0	0,5
Buttare giù	Il muro è stato buttato giù	nonidiom	4	0	0	1
Buttare giù	Il secondo posto è difficile da buttare giù	idiom	0	0	0	0
