index	idiom	submission	category	1.Wrong Category	2.Undecidable	3.Low Context	4.Vulgar	5.Incorrect Grammar/   Word Order	6.Incorrect Spelling	7.Meaningless	8.Negative Sentiment	9.Restricted Readers	10.Not-Idiomatic & Not-Literal	11.Quality	12.Notes
1226	Avere il mestolo in mano	Il mestolo che ha zia in mano é davvero bello	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1227	Avere il mestolo in mano	Il mestolo che hai comprato ieri è lo stesso che ha in mano tua sorella	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1252	Avere il mestolo in mano	Il mestolo che hai in mano è quello di zia Sofia	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1278	Avere il mestolo in mano	Il mestolo che ho in mano è quello che uso sempre per cucinare	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1295	Avere il mestolo in mano	Il mestolo che nonna Anna aveva sempre in mano, è il ricordo che conservo con più affetto di lei	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1323	Avere il mestolo in mano	In famiglia mia madre ha il mestolo in mano	idiom	0	0	0	0	0	0	0	0	0	0	2	
1326	Avere il mestolo in mano	In questa cucina devo sempre avere il mestolo in mano, altrimenti non lo trovo più	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1329	Avere il mestolo in mano	In una dittatura il presidente ha il mestolo in mano	idiom	0	0	0	0	0	0	0	0	0	0	2	
1345	Avere il mestolo in mano	La mamma pensava di avere il mestolo in mano, ma aveva un cucchiaio	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1347	Avere il mestolo in mano	La nonna alle feste ha sempre il mestolo in mano, comanda tutto lei	idiom	0	0	0	0	0	0	0	0	0	0	2	
1355	Avere il mestolo in mano	La professoressa aveva il mestolo in mano, ma gli alunni non l'ascoltavano	idiom	0	0	1	0	0	0	0	0	0	0	1	
1358	Avere il mestolo in mano	La zia mi ha regalato il mestolo che ho in mano	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1368	Avere il mestolo in mano	Le ho sfilato il mestolo che aveva in mano e sono corsa via	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1376	Avere il mestolo in mano	Luca è sempre troppo duro a lavoro, ha proprio il mestolo in mano!	idiom	0	0	0	0	0	0	0	0	0	0	0	
1392	Avere il mestolo in mano	Mario ha il mestolo in mano quando si tratta dei lavori in cantiere	idiom	0	0	0	0	0	0	0	0	0	0	1	
1393	Avere il mestolo in mano	Marta aveva il mestolo in una mano e nell'altra il pepe.	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1394	Avere il mestolo in mano	Marta non ha il mestolo in mano ma il cucchiao	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1397	Avere il mestolo in mano	Mi licenzio perché il mio capo ha sempre il mestolo in mano	idiom	0	0	0	0	0	0	0	0	0	0	2	
1408	Avere il mestolo in mano	Mia madre mi parla come se avesse sempre il mestolo in mano	idiom	0	0	0	0	0	0	0	0	0	0	2	
1419	Avere il mestolo in mano	Mia nonna era un'amante della cucina, aveva sempre il mestolo in mano.	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1446	Avere il mestolo in mano	Non capisco perché ha sempre il mestolo in mano se non le piace cucinare	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1451	Avere il mestolo in mano	Non hai mai detto che io non debba avere il mestolo in mano, ma non mi lasci mai cucinare	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1452	Avere il mestolo in mano	Non ho il mestolo in mano ma la cucchiaia	nonidiom	0	0	0	0	1	0	0	0	0	0	0	
1460	Avere il mestolo in mano	Non puoi avere il mestolo in mano se non sai nemmeno cucinare	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1461	Avere il mestolo in mano	Non puoi avere il mestolo in mano, l'ultima volta ti sei scottata	nonidiom	0	0	1	0	0	0	0	0	0	0	0	
1468	Avere il mestolo in mano	Non sfilarmi più il mestolo quando lo ho in mano, potremmo farci male	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1482	Avere il mestolo in mano	Ora che ti ho scoperto a tradire la tua ragazza ho davvero il mestolo in mano!	idiom	0	0	0	0	1	0	0	0	0	0	1	
1497	Avere il mestolo in mano	Per mescolare bene l'impasto, devi avere il mestolo in mano.	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1501	Avere il mestolo in mano	Poggia il mestolo che hai in mano sul davanzale	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1505	Avere il mestolo in mano	Posa il mestolo che hai in mano subito!	nonidiom	0	0	0	0	0	0	0	0	0	0	1	179
1517	Avere il mestolo in mano	Quando da piccola vedevo mia madre avere il mestolo in mano scappavo per paura di essere picchiata	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1518	Avere il mestolo in mano	Quando era piccolo sua madre lo picchiava con il mestolo che aveva in mano	nonidiom	0	0	0	0	0	0	0	0	0	0	2	180
1522	Avere il mestolo in mano	Quando hai il mestolo in mano  stai attento a non farlo cadere	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1529	Avere il mestolo in mano	Quando lavoro in gruppo non ho mai il mestolo in mano	idiom	0	0	1	0	0	0	0	0	0	0	1	
1547	Avere il mestolo in mano	Quel cuoco è famoso per avere sempre il mestolo in mano, cucina sempre!	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1563	Avere il mestolo in mano	Se devi versare la pasta nei piatti, devi avere il mestolo in mano!	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1568	Avere il mestolo in mano	Se hai il mestolo in mano, potresti passarmelo un momento?	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1569	Avere il mestolo in mano	Se hai sempre tu il mestolo in mano, non verrai mai apprezzato	idiom	0	0	0	0	0	0	0	0	0	0	1	
1573	Avere il mestolo in mano	Se mi da il mestolo che hai in mano, io ti passo il piatto	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1575	Avere il mestolo in mano	Se permetti verso io, ho già il mestolo in mano	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1578	Avere il mestolo in mano	Se vuoi avere il mestolo in mano non ti fermerò	idiom	0	0	0	0	0	0	0	0	0	0	2	
1593	Avere il mestolo in mano	Spesso non conviene contraddire chi ha il mestolo in mano	idiom	0	0	0	0	0	0	0	0	0	0	2	
1620	Avere il mestolo in mano	Vuole avere il mestolo in mano ma in realtà nessuno la rispetta	idiom	0	0	0	0	0	0	0	0	0	0	2	
1621	Avere il mestolo in mano	Vuole colpirmi, ha il mestolo in mano	nonidiom	0	0	1	0	0	0	0	0	0	0	1	
1624	Avere il mestolo in mano	Zia Katia credeva di avere il mestolo in mano, invece era un cucchiaio!	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1655	Avere le batterie scariche	Come fa Luca a non avere mai le batterie scariche ?È sempre energico	idiom	0	0	0	0	0	0	0	0	0	0	2	
1656	Avere le batterie scariche	Come fa Luca a non avere mai le batterie scariche, È sempre energico	idiom	0	0	0	0	0	0	0	0	0	0	0	195
1670	Avere le batterie scariche	Da quando sei dimagrita hai sempre le batterie scariche, sicura di star mangiando correttamente?	idiom	0	0	0	0	0	0	0	0	0	0	2	
1672	Avere le batterie scariche	Devo andare dal meccanico perché la macchina ha le batterie scariche	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1685	Avere le batterie scariche	Dopo quella maratona avevo le batterie scariche	idiom	0	0	0	0	0	0	0	0	0	0	2	
1694	Avere le batterie scariche	Farò correre il mio cane fin quando non avrà le batterie scariche, così dormirà una volta tornato a casa	idiom	0	0	0	0	0	0	0	0	0	0	2	
1701	Avere le batterie scariche	Hai le batterie del telecomando scariche	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1724	Avere le batterie scariche	Ieri non sono uscita, avevo proprio le batterie scariche.	idiom	0	0	0	0	0	0	0	0	0	0	2	
1740	Avere le batterie scariche	Il mio ragazzo a causa del lavoro ha sempre le batterie scariche e non vuole uscire	idiom	0	0	0	0	0	0	0	0	0	0	2	
